Home,W/L,Points,Visitor,Points,Diff
WKW,W,890.0,TR,55.0,835.0
WKW,W,753.0,HHCC,230.0,523.0
WKW,W,745.0,VOU,295.0,450.0
WKW,W,754.0,WRST,306.0,448.0
WKW,W,735.0,DB,307.0,428.0
WKW,W,739.0,PVYA,337.0,402.0
WKW,W,737.0,RMR,358.0,379.0
WKW,W,701.0,LDL,370.0,331.0
WKW,W,660.0,LL,383.0,277.0
WKW,W,702.0,SR,391.0,311.0
WKW,W,684.0,BAR,413.0,271.0
WKW,W,611.0,HC,455.0,156.0
WKW,W,625.0,RSST,461.0,164.0
WKW,W,658.0,VOUBC,461.0,197.0
WKW,W,613.0,CH,476.0,137.0
WKW,W,560.0,FCY,556.0,4.0
FCY,W,996.0,TR,35.0,961.0
FCY,W,871.0,HHCC,206.0,665.0
FCY,W,863.0,WRST,239.0,624.0
FCY,W,838.0,VOU,268.0,570.0
FCY,W,851.0,RMR,273.0,578.0
FCY,W,807.0,DB,312.0,495.0
FCY,W,789.0,PVYA,333.0,456.0
FCY,W,759.0,BAR,370.0,389.0
FCY,W,749.0,LDL,375.0,374.0
FCY,W,720.0,LL,377.0,343.0
FCY,W,744.0,SR,398.0,346.0
FCY,W,718.0,RSST,420.0,298.0
FCY,W,717.0,VOUBC,444.0,273.0
FCY,W,661.0,HC,456.0,205.0
FCY,W,662.0,CH,464.0,198.0
FCY,L,556.0,WKW,560.0,-4.0
CH,W,880.0,TR,48.0,832.0
CH,W,729.0,HHCC,259.0,470.0
CH,W,717.0,VOU,331.0,386.0
CH,W,671.0,DB,366.0,305.0
CH,W,685.5,WRST,384.5,301.0
CH,W,672.0,PVYA,386.0,286.0
CH,W,672.0,RMR,427.0,245.0
CH,W,612.0,LDL,459.0,153.0
CH,W,580.0,LL,467.0,113.0
CH,W,587.0,BAR,500.0,87.0
CH,W,603.0,SR,506.0,97.0
CH,W,617.0,VOUBC,509.0,108.0
CH,W,554.0,HC,517.0,37.0
CH,W,576.0,RSST,526.0,50.0
CH,L,476.0,WKW,613.0,-137.0
CH,L,464.0,FCY,662.0,-198.0
RSST,W,875.0,TR,46.0,829.0
RSST,W,707.5,HHCC,258.5,449.0
RSST,W,704.0,VOU,338.0,366.0
RSST,W,686.0,DB,346.0,340.0
RSST,W,711.0,WRST,360.0,351.0
RSST,W,696.5,PVYA,381.5,315.0
RSST,W,684.0,RMR,420.0,264.0
RSST,W,620.5,LDL,454.5,166.0
RSST,W,626.0,SR,466.0,160.0
RSST,W,596.0,LL,472.0,124.0
RSST,W,632.0,BAR,474.0,158.0
RSST,W,547.0,HC,532.0,15.0
RSST,W,567.0,VOUBC,535.0,32.0
RSST,L,526.0,CH,576.0,-50.0
RSST,L,461.0,WKW,625.0,-164.0
RSST,L,420.0,FCY,718.0,-298.0
HC,W,742.0,TR,62.0,680.0
HC,W,633.0,HHCC,286.0,347.0
HC,W,623.0,DB,354.0,269.0
HC,W,619.0,VOU,381.0,238.0
HC,W,638.0,WRST,389.0,249.0
HC,W,600.0,PVYA,423.0,177.0
HC,W,590.0,RMR,456.0,134.0
HC,W,586.0,LDL,459.0,127.0
HC,W,557.0,LL,467.0,90.0
HC,W,557.0,BAR,509.0,48.0
HC,W,560.0,SR,527.0,33.0
HC,L,532.0,RSST,547.0,-15.0
HC,L,545.0,VOUBC,547.0,-2.0
HC,L,517.0,CH,554.0,-37.0
HC,L,455.0,WKW,611.0,-156.0
HC,L,456.0,FCY,661.0,-205.0
VOUBC,W,827.0,TR,35.0,792.0
VOUBC,W,694.0,HHCC,265.0,429.0
VOUBC,W,655.0,VOU,382.0,273.0
VOUBC,W,632.0,DB,393.0,239.0
VOUBC,W,676.5,WRST,397.5,279.0
VOUBC,W,628.0,PVYA,431.0,197.0
VOUBC,W,577.0,SR,499.0,78.0
VOUBC,W,642.0,RMR,504.0,138.0
VOUBC,W,586.0,LDL,513.0,73.0
VOUBC,W,572.0,LL,541.0,31.0
VOUBC,W,547.0,HC,545.0,2.0
VOUBC,L,554.0,BAR,561.0,-7.0
VOUBC,L,535.0,RSST,567.0,-32.0
VOUBC,L,509.0,CH,617.0,-108.0
VOUBC,L,461.0,WKW,658.0,-197.0
VOUBC,L,444.0,FCY,717.0,-273.0
BAR,W,863.0,TR,51.0,812.0
BAR,W,708.0,HHCC,277.0,431.0
BAR,W,661.0,DB,366.0,295.0
BAR,W,677.0,VOU,368.0,309.0
BAR,W,685.5,WRST,388.5,297.0
BAR,W,651.0,PVYA,425.0,226.0
BAR,W,625.0,RMR,463.0,162.0
BAR,W,559.0,LDL,523.0,36.0
BAR,W,569.0,SR,541.0,28.0
BAR,W,561.0,VOUBC,554.0,7.0
BAR,L,509.0,HC,557.0,-48.0
BAR,L,479.0,LL,570.0,-91.0
BAR,L,500.0,CH,587.0,-87.0
BAR,L,474.0,RSST,632.0,-158.0
BAR,L,413.0,WKW,684.0,-271.0
BAR,L,370.0,FCY,759.0,-389.0
LL,W,821.0,TR,59.0,762.0
LL,W,664.0,HHCC,282.0,382.0
LL,W,658.5,VOU,335.5,323.0
LL,W,650.0,WRST,354.0,296.0
LL,W,621.0,DB,382.0,239.0
LL,W,626.0,PVYA,412.0,214.0
LL,W,625.0,RMR,427.0,198.0
LL,W,562.0,LDL,473.0,89.0
LL,W,570.0,BAR,479.0,91.0
LL,W,579.0,SR,506.0,73.0
LL,L,467.0,HC,557.0,-90.0
LL,L,541.0,VOUBC,572.0,-31.0
LL,L,467.0,CH,580.0,-113.0
LL,L,472.0,RSST,596.0,-124.0
LL,L,383.0,WKW,660.0,-277.0
LL,L,377.0,FCY,720.0,-343.0
SR,W,840.0,TR,58.0,782.0
SR,W,670.0,HHCC,289.0,381.0
SR,W,624.0,DB,392.0,232.0
SR,W,654.0,VOU,396.0,258.0
SR,W,662.5,WRST,420.5,242.0
SR,W,625.0,PVYA,437.0,188.0
SR,W,612.0,RMR,511.0,101.0
SR,W,542.0,LDL,535.0,7.0
SR,L,527.0,HC,560.0,-33.0
SR,L,541.0,BAR,569.0,-28.0
SR,L,499.0,VOUBC,577.0,-78.0
SR,L,506.0,LL,579.0,-73.0
SR,L,506.0,CH,603.0,-97.0
SR,L,466.0,RSST,626.0,-160.0
SR,L,391.0,WKW,702.0,-311.0
SR,L,398.0,FCY,744.0,-346.0
LDL,W,784.5,TR,66.5,718.0
LDL,W,650.0,HHCC,292.0,358.0
LDL,W,588.0,DB,405.0,183.0
LDL,W,618.0,VOU,407.0,211.0
LDL,W,624.5,WRST,414.5,210.0
LDL,W,593.0,PVYA,439.0,154.0
LDL,W,592.0,RMR,478.0,114.0
LDL,L,535.0,SR,542.0,-7.0
LDL,L,523.0,BAR,559.0,-36.0
LDL,L,473.0,LL,562.0,-89.0
LDL,L,459.0,HC,586.0,-127.0
LDL,L,513.0,VOUBC,586.0,-73.0
LDL,L,459.0,CH,612.0,-153.0
LDL,L,454.5,RSST,620.5,-166.0
LDL,L,370.0,WKW,701.0,-331.0
LDL,L,375.0,FCY,749.0,-374.0
RMR,W,881.0,TR,53.0,828.0
RMR,W,674.0,HHCC,346.0,328.0
RMR,W,632.0,VOU,427.0,205.0
RMR,W,599.0,DB,442.0,157.0
RMR,W,603.5,WRST,450.5,153.0
RMR,W,578.0,PVYA,479.0,99.0
RMR,L,456.0,HC,590.0,-134.0
RMR,L,478.0,LDL,592.0,-114.0
RMR,L,511.0,SR,612.0,-101.0
RMR,L,463.0,BAR,625.0,-162.0
RMR,L,427.0,LL,625.0,-198.0
RMR,L,504.0,VOUBC,642.0,-138.0
RMR,L,427.0,CH,672.0,-245.0
RMR,L,420.0,RSST,684.0,-264.0
RMR,L,358.0,WKW,737.0,-379.0
RMR,L,273.0,FCY,851.0,-578.0
PVYA,W,715.0,TR,83.0,632.0
PVYA,W,554.0,HHCC,348.0,206.0
PVYA,W,507.0,DB,469.0,38.0
PVYA,W,526.0,VOU,475.0,51.0
PVYA,W,529.0,WRST,491.0,38.0
PVYA,L,479.0,RMR,578.0,-99.0
PVYA,L,439.0,LDL,593.0,-154.0
PVYA,L,423.0,HC,600.0,-177.0
PVYA,L,437.0,SR,625.0,-188.0
PVYA,L,412.0,LL,626.0,-214.0
PVYA,L,431.0,VOUBC,628.0,-197.0
PVYA,L,425.0,BAR,651.0,-226.0
PVYA,L,386.0,CH,672.0,-286.0
PVYA,L,381.5,RSST,696.5,-315.0
PVYA,L,337.0,WKW,739.0,-402.0
PVYA,L,333.0,FCY,789.0,-456.0
WRST,W,744.0,TR,73.0,671.0
WRST,W,578.0,HHCC,340.0,238.0
WRST,W,513.0,DB,468.0,45.0
WRST,W,523.5,VOU,481.5,42.0
WRST,L,491.0,PVYA,529.0,-38.0
WRST,L,450.5,RMR,603.5,-153.0
WRST,L,414.5,LDL,624.5,-210.0
WRST,L,389.0,HC,638.0,-249.0
WRST,L,354.0,LL,650.0,-296.0
WRST,L,420.5,SR,662.5,-242.0
WRST,L,397.5,VOUBC,676.5,-279.0
WRST,L,388.5,BAR,685.5,-297.0
WRST,L,384.5,CH,685.5,-301.0
WRST,L,360.0,RSST,711.0,-351.0
WRST,L,306.0,WKW,754.0,-448.0
WRST,L,239.0,FCY,863.0,-624.0
DB,W,605.0,TR,104.0,501.0
DB,W,478.0,HHCC,332.0,146.0
DB,W,492.0,VOU,463.0,29.0
DB,L,469.0,PVYA,507.0,-38.0
DB,L,468.0,WRST,513.0,-45.0
DB,L,405.0,LDL,588.0,-183.0
DB,L,442.0,RMR,599.0,-157.0
DB,L,382.0,LL,621.0,-239.0
DB,L,354.0,HC,623.0,-269.0
DB,L,392.0,SR,624.0,-232.0
DB,L,393.0,VOUBC,632.0,-239.0
