Home,W/L,Points,Visitor,Points,Diff
WKW,W,873.0,TR,88.0,785.0
WKW,W,787.0,WRST,304.0,483.0
WKW,W,744.0,HHCC,324.0,420.0
WKW,W,730.0,DB,337.0,393.0
WKW,W,723.0,VOU,343.0,380.0
WKW,W,732.0,PVYA,345.0,387.0
WKW,W,748.0,RMR,375.0,373.0
WKW,W,686.0,BAR,426.0,260.0
WKW,W,688.0,LDL,429.0,259.0
WKW,W,649.0,LL,431.0,218.0
WKW,W,661.0,RSST,450.0,211.0
WKW,W,666.0,VOUBC,455.0,211.0
WKW,W,658.0,SR,461.0,197.0
WKW,W,594.0,CH,528.0,66.0
WKW,W,597.0,HC,539.0,58.0
WKW,W,579.0,FCY,572.0,7.0
FCY,W,978.0,TR,79.0,899.0
FCY,W,855.0,WRST,264.0,591.0
FCY,W,822.5,HHCC,313.5,509.0
FCY,W,796.0,VOU,323.0,473.0
FCY,W,810.0,RMR,324.0,486.0
FCY,W,786.5,PVYA,338.5,448.0
FCY,W,777.5,DB,348.5,429.0
FCY,W,719.0,BAR,413.0,306.0
FCY,W,699.0,LDL,429.0,270.0
FCY,W,685.0,LL,429.0,256.0
FCY,W,701.0,RSST,441.0,260.0
FCY,W,698.0,VOUBC,472.0,226.0
FCY,W,684.0,SR,484.0,200.0
FCY,W,606.0,HC,539.0,67.0
FCY,W,586.0,CH,543.0,43.0
FCY,L,572.0,WKW,579.0,-7.0
CH,W,877.0,TR,94.0,783.0
CH,W,771.0,WRST,319.0,452.0
CH,W,734.0,PVYA,333.0,401.0
CH,W,738.0,HHCC,340.0,398.0
CH,W,725.0,VOU,348.0,377.0
CH,W,727.0,DB,352.0,375.0
CH,W,720.0,RMR,395.0,325.0
CH,W,647.0,LL,429.0,218.0
CH,W,657.0,BAR,451.0,206.0
CH,W,636.0,LDL,470.0,166.0
CH,W,628.0,RSST,476.0,152.0
CH,W,642.0,VOUBC,498.0,144.0
CH,W,621.0,SR,504.0,117.0
CH,W,571.0,HC,542.0,29.0
CH,L,543.0,FCY,586.0,-43.0
CH,L,528.0,WKW,594.0,-66.0
HC,W,787.0,TR,106.0,681.0
HC,W,658.0,DB,365.0,293.0
HC,W,667.0,HHCC,389.0,278.0
HC,W,712.0,WRST,389.0,323.0
HC,W,663.0,PVYA,397.0,266.0
HC,W,644.0,VOU,407.0,237.0
HC,W,605.0,VOUBC,478.0,127.0
HC,W,624.0,BAR,480.0,144.0
HC,W,613.0,LDL,484.0,129.0
HC,W,647.0,RMR,484.0,163.0
HC,W,587.0,LL,491.0,96.0
HC,W,585.0,SR,520.0,65.0
HC,W,583.0,RSST,541.0,42.0
HC,L,542.0,CH,571.0,-29.0
HC,L,539.0,WKW,597.0,-58.0
HC,L,539.0,FCY,606.0,-67.0
RSST,W,853.0,TR,95.0,758.0
RSST,W,736.0,WRST,348.0,388.0
RSST,W,705.0,HHCC,365.0,340.0
RSST,W,684.0,DB,375.0,309.0
RSST,W,672.0,PVYA,400.0,272.0
RSST,W,653.5,VOU,411.5,242.0
RSST,W,657.0,RMR,458.0,199.0
RSST,W,623.0,BAR,489.0,134.0
RSST,W,619.0,SR,506.0,113.0
RSST,W,577.5,LL,512.5,65.0
RSST,W,587.0,LDL,513.0,74.0
RSST,W,575.0,VOUBC,550.0,25.0
RSST,L,541.0,HC,583.0,-42.0
RSST,L,476.0,CH,628.0,-152.0
RSST,L,450.0,WKW,661.0,-211.0
RSST,L,441.0,FCY,701.0,-260.0
SR,W,875.0,TR,95.0,780.0
SR,W,664.0,DB,379.0,285.0
SR,W,730.0,WRST,380.0,350.0
SR,W,681.0,HHCC,392.0,289.0
SR,W,659.0,PVYA,404.0,255.0
SR,W,679.0,VOU,406.0,273.0
SR,W,646.0,RMR,495.0,151.0
SR,W,566.0,LDL,529.0,37.0
SR,W,585.0,BAR,534.0,51.0
SR,W,554.0,LL,534.0,20.0
SR,W,572.0,VOUBC,545.0,27.0
SR,L,520.0,HC,585.0,-65.0
SR,L,506.0,RSST,619.0,-113.0
SR,L,504.0,CH,621.0,-117.0
SR,L,461.0,WKW,658.0,-197.0
SR,L,484.0,FCY,684.0,-200.0
LL,W,811.0,TR,98.0,713.0
LL,W,654.0,VOU,368.0,286.0
LL,W,674.0,WRST,368.0,306.0
LL,W,628.0,DB,379.0,249.0
LL,W,634.0,HHCC,396.0,238.0
LL,W,629.0,PVYA,402.0,227.0
LL,W,609.0,RMR,462.0,147.0
LL,W,548.0,BAR,499.0,49.0
LL,W,563.5,LDL,499.5,64.0
LL,W,570.0,VOUBC,541.0,29.0
LL,L,534.0,SR,554.0,-20.0
LL,L,512.5,RSST,577.5,-65.0
LL,L,491.0,HC,587.0,-96.0
LL,L,429.0,CH,647.0,-218.0
LL,L,431.0,WKW,649.0,-218.0
LL,L,429.0,FCY,685.0,-256.0
BAR,W,832.0,TR,114.0,718.0
BAR,W,713.0,WRST,368.0,345.0
BAR,W,663.0,DB,392.0,271.0
BAR,W,655.0,VOU,401.0,254.0
BAR,W,654.0,HHCC,415.0,239.0
BAR,W,634.0,PVYA,437.0,197.0
BAR,W,619.0,RMR,489.0,130.0
BAR,W,577.0,VOUBC,538.0,39.0
BAR,L,499.0,LL,548.0,-49.0
BAR,L,535.0,LDL,559.0,-24.0
BAR,L,534.0,SR,585.0,-51.0
BAR,L,489.0,RSST,623.0,-134.0
BAR,L,480.0,HC,624.0,-144.0
BAR,L,451.0,CH,657.0,-206.0
BAR,L,426.0,WKW,686.0,-260.0
BAR,L,413.0,FCY,719.0,-306.0
LDL,W,789.0,TR,116.0,673.0
LDL,W,696.0,WRST,382.0,314.0
LDL,W,631.0,DB,388.0,243.0
LDL,W,640.0,PVYA,401.0,239.0
LDL,W,655.5,HHCC,401.5,254.0
LDL,W,629.0,VOU,424.0,205.0
LDL,W,608.0,RMR,492.0,116.0
LDL,W,559.0,BAR,535.0,24.0
LDL,L,557.5,VOUBC,562.5,-5.0
LDL,L,499.5,LL,563.5,-64.0
LDL,L,529.0,SR,566.0,-37.0
LDL,L,513.0,RSST,587.0,-74.0
LDL,L,484.0,HC,613.0,-129.0
LDL,L,470.0,CH,636.0,-166.0
LDL,L,429.0,WKW,688.0,-259.0
LDL,L,429.0,FCY,699.0,-270.0
VOUBC,W,799.0,TR,95.0,704.0
VOUBC,W,674.0,HHCC,382.0,292.0
VOUBC,W,698.5,WRST,409.5,289.0
VOUBC,W,630.0,VOU,412.0,218.0
VOUBC,W,634.5,PVYA,445.5,189.0
VOUBC,W,613.0,DB,448.0,165.0
VOUBC,W,643.0,RMR,502.0,141.0
VOUBC,W,562.5,LDL,557.5,5.0
VOUBC,L,541.0,LL,570.0,-29.0
