Home,W/L,Points,Visitor,Points,Diff
WKW,W,568.0,TR,25.0,543.0
WKW,W,535.0,WRST,105.0,430.0
WKW,W,516.0,PVYA,106.0,410.0
WKW,W,494.0,VOU,130.0,364.0
WKW,W,485.0,HHCC,133.0,352.0
WKW,W,502.0,RMR,139.0,363.0
WKW,W,479.0,DB,141.0,338.0
WKW,W,471.0,SR,141.0,330.0
WKW,W,479.0,LDL,158.0,321.0
WKW,W,480.0,BAR,160.0,320.0
WKW,W,471.0,LL,165.0,306.0
WKW,W,432.0,RSST,204.0,228.0
WKW,W,430.0,VOUBC,204.0,226.0
WKW,W,422.0,FCY,220.0,202.0
WKW,W,388.5,CH,252.5,136.0
WKW,W,352.0,HC,290.0,62.0
HC,W,550.0,TR,35.0,515.0
HC,W,498.0,WRST,140.0,358.0
HC,W,482.0,HHCC,151.0,331.0
HC,W,461.0,VOU,160.0,301.0
HC,W,464.0,DB,165.0,299.0
HC,W,464.0,BAR,166.0,298.0
HC,W,469.0,PVYA,166.0,303.0
HC,W,472.0,RMR,170.0,302.0
HC,W,459.0,LDL,176.0,283.0
HC,W,448.0,SR,188.0,260.0
HC,W,431.0,LL,199.0,232.0
HC,W,426.0,VOUBC,208.0,218.0
HC,W,404.0,RSST,235.0,169.0
HC,W,403.0,FCY,236.0,167.0
HC,W,375.0,CH,265.0,110.0
HC,L,290.0,WKW,352.0,-62.0
CH,W,570.0,TR,32.0,538.0
CH,W,495.0,WRST,141.0,354.0
CH,W,473.0,HHCC,154.0,319.0
CH,W,473.0,VOU,154.0,319.0
CH,W,454.0,DB,172.0,282.0
CH,W,455.0,PVYA,173.0,282.0
CH,W,448.0,BAR,189.0,259.0
CH,W,445.0,RMR,197.0,248.0
CH,W,423.0,LDL,210.0,213.0
CH,W,418.0,SR,210.0,208.0
CH,W,409.0,LL,222.0,187.0
CH,W,403.0,VOUBC,236.0,167.0
CH,W,358.0,RSST,280.0,78.0
CH,W,354.0,FCY,284.0,70.0
CH,L,265.0,HC,375.0,-110.0
CH,L,252.5,WKW,388.5,-136.0
FCY,W,576.0,TR,31.0,545.0
FCY,W,480.0,WRST,157.0,323.0
FCY,W,460.0,RMR,177.0,283.0
FCY,W,452.0,HHCC,178.0,274.0
FCY,W,447.0,VOU,178.0,269.0
FCY,W,441.0,PVYA,189.0,252.0
FCY,W,434.0,DB,192.0,242.0
FCY,W,419.0,BAR,218.0,201.0
FCY,W,381.0,LL,243.0,138.0
FCY,W,389.0,LDL,249.0,140.0
FCY,W,381.0,SR,256.0,125.0
FCY,W,377.0,VOUBC,263.0,114.0
FCY,W,357.0,RSST,279.0,78.0
FCY,L,284.0,CH,354.0,-70.0
FCY,L,236.0,HC,403.0,-167.0
FCY,L,220.0,WKW,422.0,-202.0
RSST,W,521.0,TR,31.0,490.0
RSST,W,437.0,VOU,166.0,271.0
RSST,W,443.0,PVYA,171.0,272.0
RSST,W,429.0,HHCC,172.0,257.0
RSST,W,460.0,WRST,172.0,288.0
RSST,W,416.0,DB,181.0,235.0
RSST,W,426.0,RMR,206.0,220.0
RSST,W,427.0,BAR,209.0,218.0
RSST,W,393.0,SR,218.0,175.0
RSST,W,402.0,LDL,223.0,179.0
RSST,W,377.0,LL,242.0,135.0
RSST,W,348.0,VOUBC,280.0,68.0
RSST,L,279.0,FCY,357.0,-78.0
RSST,L,280.0,CH,358.0,-78.0
RSST,L,235.0,HC,404.0,-169.0
RSST,L,204.0,WKW,432.0,-228.0
LL,W,499.0,TR,45.0,454.0
LL,W,375.0,VOU,208.0,167.0
LL,W,369.0,DB,212.0,157.0
LL,W,366.0,HHCC,223.0,143.0
LL,W,365.0,PVYA,229.0,136.0
LL,W,380.0,RMR,242.0,138.0
LL,W,366.0,WRST,252.0,114.0
LL,W,327.0,BAR,286.0,41.0
LL,W,321.0,SR,291.0,30.0
LL,W,310.0,LDL,298.0,12.0
LL,W,313.0,VOUBC,309.0,4.0
LL,L,242.0,RSST,377.0,-135.0
LL,L,243.0,FCY,381.0,-138.0
LL,L,222.0,CH,409.0,-187.0
LL,L,199.0,HC,431.0,-232.0
LL,L,165.0,WKW,471.0,-306.0
BAR,W,517.0,TR,50.0,467.0
BAR,W,385.0,DB,218.0,167.0
BAR,W,381.0,VOU,221.0,160.0
BAR,W,387.0,PVYA,233.0,154.0
BAR,W,397.0,WRST,237.0,160.0
BAR,W,373.0,HHCC,244.0,129.0
BAR,W,363.0,RMR,271.0,92.0
BAR,W,318.0,LDL,304.0,14.0
BAR,W,327.0,VOUBC,306.0,21.0
BAR,L,308.0,SR,316.0,-8.0
BAR,L,286.0,LL,327.0,-41.0
BAR,L,218.0,FCY,419.0,-201.0
BAR,L,209.0,RSST,427.0,-218.0
BAR,L,189.0,CH,448.0,-259.0
BAR,L,166.0,HC,464.0,-298.0
BAR,L,160.0,WKW,480.0,-320.0
VOUBC,W,475.0,TR,41.0,434.0
VOUBC,W,379.0,HHCC,215.0,164.0
VOUBC,W,394.0,WRST,233.0,161.0
VOUBC,W,360.0,VOU,239.0,121.0
VOUBC,W,351.0,DB,245.0,106.0
VOUBC,W,356.0,PVYA,257.0,99.0
VOUBC,W,369.0,RMR,273.0,96.0
VOUBC,W,323.0,SR,282.0,41.0
VOUBC,W,313.0,LDL,296.0,17.0
VOUBC,L,309.0,LL,313.0,-4.0
VOUBC,L,306.0,BAR,327.0,-21.0
VOUBC,L,280.0,RSST,348.0,-68.0
VOUBC,L,263.0,FCY,377.0,-114.0
VOUBC,L,236.0,CH,403.0,-167.0
VOUBC,L,208.0,HC,426.0,-218.0
VOUBC,L,204.0,WKW,430.0,-226.0
LDL,W,481.0,TR,44.0,437.0
LDL,W,366.0,DB,224.0,142.0
LDL,W,379.0,VOU,228.0,151.0
LDL,W,394.0,WRST,228.0,166.0
LDL,W,379.0,PVYA,238.0,141.0
LDL,W,358.0,HHCC,242.0,116.0
LDL,W,360.0,RMR,277.0,83.0
LDL,W,329.0,SR,277.0,52.0
LDL,L,298.0,LL,310.0,-12.0
LDL,L,296.0,VOUBC,313.0,-17.0
LDL,L,304.0,BAR,318.0,-14.0
LDL,L,249.0,FCY,389.0,-140.0
LDL,L,223.0,RSST,402.0,-179.0
LDL,L,210.0,CH,423.0,-213.0
LDL,L,176.0,HC,459.0,-283.0
LDL,L,158.0,WKW,479.0,-321.0
SR,W,476.0,TR,41.0,435.0
SR,W,343.0,DB,230.0,113.0
SR,W,353.5,VOU,234.5,119.0
SR,W,341.0,HHCC,241.0,100.0
SR,W,344.0,PVYA,247.0,97.0
SR,W,377.0,WRST,247.0,130.0
SR,W,343.0,RMR,296.0,47.0
SR,W,316.0,BAR,308.0,8.0
SR,L,291.0,LL,321.0,-30.0
SR,L,282.0,VOUBC,323.0,-41.0
SR,L,277.0,LDL,329.0,-52.0
SR,L,256.0,FCY,381.0,-125.0
SR,L,218.0,RSST,393.0,-175.0
SR,L,210.0,CH,418.0,-208.0
SR,L,188.0,HC,448.0,-260.0
SR,L,141.0,WKW,471.0,-330.0
RMR,W,540.0,TR,68.0,472.0
RMR,W,367.0,VOU,252.0,115.0
RMR,W,358.0,PVYA,266.0,92.0
RMR,W,350.0,HHCC,274.0,76.0
RMR,W,361.0,WRST,277.0,84.0
RMR,W,345.0,DB,284.0,61.0
RMR,L,296.0,SR,343.0,-47.0
RMR,L,277.0,LDL,360.0,-83.0
RMR,L,271.0,BAR,363.0,-92.0
RMR,L,273.0,VOUBC,369.0,-96.0
RMR,L,242.0,LL,380.0,-138.0
RMR,L,206.0,RSST,426.0,-220.0
RMR,L,197.0,CH,445.0,-248.0
RMR,L,177.0,FCY,460.0,-283.0
RMR,L,170.0,HC,472.0,-302.0
RMR,L,139.0,WKW,502.0,-363.0
WRST,W,518.0,TR,52.0,466.0
WRST,W,352.0,HHCC,261.0,91.0
WRST,W,342.0,VOU,278.0,64.0
WRST,W,329.0,PVYA,288.0,41.0
WRST,W,307.0,DB,296.0,11.0
WRST,L,277.0,RMR,361.0,-84.0
WRST,L,252.0,LL,366.0,-114.0
WRST,L,247.0,SR,377.0,-130.0
WRST,L,228.0,LDL,394.0,-166.0
WRST,L,233.0,VOUBC,394.0,-161.0
WRST,L,237.0,BAR,397.0,-160.0
WRST,L,172.0,RSST,460.0,-288.0
WRST,L,157.0,FCY,480.0,-323.0
WRST,L,141.0,CH,495.0,-354.0
WRST,L,140.0,HC,498.0,-358.0
WRST,L,105.0,WKW,535.0,-430.0
HHCC,W,377.0,TR,70.0,307.0
HHCC,W,290.0,DB,271.0,19.0
HHCC,W,275.0,VOU,271.0,4.0
HHCC,W,297.0,PVYA,283.0,14.0
HHCC,L,241.0,SR,341.0,-100.0
HHCC,L,274.0,RMR,350.0,-76.0
HHCC,L,261.0,WRST,352.0,-91.0
HHCC,L,242.0,LDL,358.0,-116.0
HHCC,L,223.0,LL,366.0,-143.0
HHCC,L,244.0,BAR,373.0,-129.0
HHCC,L,215.0,VOUBC,379.0,-164.0
HHCC,L,172.0,RSST,429.0,-257.0
HHCC,L,178.0,FCY,452.0,-274.0
HHCC,L,154.0,CH,473.0,-319.0
HHCC,L,151.0,HC,482.0,-331.0
HHCC,L,133.0,WKW,485.0,-352.0
DB,W,388.0,TR,69.0,319.0
DB,W,280.0,VOU,273.0,7.0
DB,W,298.0,PVYA,279.0,19.0
DB,L,271.0,HHCC,290.0,-19.0
DB,L,296.0,WRST,307.0,-11.0
DB,L,230.0,SR,343.0,-113.0
DB,L,284.0,RMR,345.0,-61.0
DB,L,245.0,VOUBC,351.0,-106.0
DB,L,224.0,LDL,366.0,-142.0
DB,L,212.0,LL,369.0,-157.0
DB,L,218.0,BAR,385.0,-167.0
DB,L,181.0,RSST,416.0,-235.0
DB,L,192.0,FCY,434.0,-242.0
DB,L,172.0,CH,454.0,-282.0
DB,L,165.0,HC,464.0,-299.0
DB,L,141.0,WKW,479.0,-338.0
PVYA,W,419.0,TR,82.0,337.0
PVYA,W,291.0,VOU,277.0,14.0
PVYA,L,283.0,HHCC,297.0,-14.0
PVYA,L,279.0,DB,298.0,-19.0
PVYA,L,288.0,WRST,329.0,-41.0
PVYA,L,247.0,SR,344.0,-97.0
PVYA,L,257.0,VOUBC,356.0,-99.0
PVYA,L,266.0,RMR,358.0,-92.0
PVYA,L,229.0,LL,365.0,-136.0
PVYA,L,238.0,LDL,379.0,-141.0
PVYA,L,233.0,BAR,387.0,-154.0
PVYA,L,189.0,FCY,441.0,-252.0
PVYA,L,171.0,RSST,443.0,-272.0
PVYA,L,173.0,CH,455.0,-282.0
PVYA,L,166.0,HC,469.0,-303.0
PVYA,L,106.0,WKW,516.0,-410.0
VOU,W,398.0,TR,59.0,339.0
VOU,L,271.0,HHCC,275.0,-4.0
VOU,L,273.0,DB,280.0,-7.0
VOU,L,277.0,PVYA,291.0,-14.0
VOU,L,278.0,WRST,342.0,-64.0
VOU,L,234.5,SR,353.5,-119.0
VOU,L,239.0,VOUBC,360.0,-121.0
VOU,L,252.0,RMR,367.0,-115.0
VOU,L,208.0,LL,375.0,-167.0
VOU,L,228.0,LDL,379.0,-151.0
VOU,L,221.0,BAR,381.0,-160.0
VOU,L,166.0,RSST,437.0,-271.0
VOU,L,178.0,FCY,447.0,-269.0
VOU,L,160.0,HC,461.0,-301.0
VOU,L,154.0,CH,473.0,-319.0
VOU,L,130.0,WKW,494.0,-364.0
TR,L,70.0,HHCC,377.0,-307.0
TR,L,69.0,DB,388.0,-319.0
TR,L,59.0,VOU,398.0,-339.0
TR,L,82.0,PVYA,419.0,-337.0
TR,L,41.0,VOUBC,475.0,-434.0
TR,L,41.0,SR,476.0,-435.0
TR,L,44.0,LDL,481.0,-437.0
