Home,W/L,Points,Visitor,Points,Diff
WKW,W,594.0,TR,13.0,581.0
WKW,W,547.0,WRST,90.0,457.0
WKW,W,499.0,PVYA,130.0,369.0
WKW,W,505.0,LDL,133.0,372.0
WKW,W,489.0,DB,136.0,353.0
WKW,W,494.0,RMR,144.0,350.0
WKW,W,473.0,HHCC,156.0,317.0
WKW,W,471.0,SR,165.0,306.0
WKW,W,471.0,VOU,166.0,305.0
WKW,W,468.0,BAR,167.0,301.0
WKW,W,463.0,LL,169.0,294.0
WKW,W,444.0,RSST,194.0,250.0
WKW,W,443.0,VOUBC,197.0,246.0
WKW,W,405.0,FCY,235.0,170.0
WKW,W,396.0,CH,243.0,153.0
WKW,W,368.0,HC,263.0,105.0
FCY,W,620.0,TR,3.0,617.0
FCY,W,546.0,WRST,94.0,452.0
FCY,W,503.0,PVYA,139.0,364.0
FCY,W,473.0,HHCC,166.0,307.0
FCY,W,469.0,RMR,171.0,298.0
FCY,W,464.0,VOU,173.0,291.0
FCY,W,437.0,DB,202.0,235.0
FCY,W,432.0,LDL,208.0,224.0
FCY,W,422.0,SR,220.0,202.0
FCY,W,402.0,LL,229.0,173.0
FCY,W,391.0,BAR,240.0,151.0
FCY,W,392.0,VOUBC,249.0,143.0
FCY,W,361.0,RSST,279.0,82.0
FCY,T,317.0,HC,317.0,0.0
FCY,W,320.0,CH,319.0,1.0
FCY,L,235.0,WKW,405.0,-170.0
CH,W,603.0,TR,12.0,591.0
CH,W,507.0,WRST,132.0,375.0
CH,W,491.0,PVYA,140.0,351.0
CH,W,452.0,DB,183.0,269.0
CH,W,451.0,HHCC,184.0,267.0
CH,W,440.0,VOU,195.0,245.0
CH,W,439.0,RMR,197.0,242.0
CH,W,416.0,BAR,215.0,201.0
CH,W,410.0,LDL,230.0,180.0
CH,W,394.0,SR,241.0,153.0
CH,W,382.0,VOUBC,258.0,124.0
CH,W,371.0,LL,264.0,107.0
CH,W,334.0,RSST,302.0,32.0
CH,W,318.0,HC,315.0,3.0
CH,L,319.0,FCY,320.0,-1.0
CH,L,243.0,WKW,396.0,-153.0
HC,W,524.0,TR,13.0,511.0
HC,W,433.0,PVYA,179.0,254.0
HC,W,443.0,WRST,183.0,260.0
HC,W,411.5,DB,188.5,223.0
HC,W,419.0,HHCC,203.0,216.0
HC,W,393.0,VOU,221.0,172.0
HC,W,395.0,RMR,230.0,165.0
HC,W,370.0,BAR,240.0,130.0
HC,W,377.5,LDL,242.5,135.0
HC,W,361.0,LL,255.0,106.0
HC,W,356.0,SR,262.0,94.0
HC,W,353.0,VOUBC,272.0,81.0
HC,W,335.0,RSST,292.0,43.0
HC,T,317.0,FCY,317.0,0.0
HC,L,315.0,CH,318.0,-3.0
HC,L,263.0,WKW,368.0,-105.0
RSST,W,582.0,TR,2.0,580.0
RSST,W,503.0,WRST,133.0,370.0
RSST,W,470.0,PVYA,148.0,322.0
RSST,W,444.0,RMR,183.0,261.0
RSST,W,425.0,HHCC,196.0,229.0
RSST,W,428.0,VOU,196.0,232.0
RSST,W,423.0,DB,198.0,225.0
