Home,W/L,Points,Visitor,Points,Diff
WKW,W,550.0,TR,24.0,526.0
WKW,W,461.0,HHCC,118.0,343.0
WKW,W,473.0,WRST,127.0,346.0
WKW,W,459.0,VOU,138.0,321.0
WKW,W,461.0,RMR,158.0,303.0
WKW,W,429.0,LL,160.0,269.0
WKW,W,449.0,DB,163.0,286.0
WKW,W,446.0,LDL,167.0,279.0
WKW,W,447.0,PVYA,171.0,276.0
WKW,W,443.0,BAR,179.0,264.0
WKW,W,438.0,SR,189.0,249.0
WKW,W,395.0,RSST,213.0,182.0
WKW,W,396.0,VOUBC,238.0,158.0
WKW,W,372.0,CH,245.0,127.0
WKW,W,347.0,FCY,273.0,74.0
WKW,W,343.0,HC,273.0,70.0
FCY,W,592.0,TR,12.0,580.0
FCY,W,521.0,WRST,93.0,428.0
FCY,W,503.0,HHCC,113.0,390.0
FCY,W,515.0,RMR,115.0,400.0
FCY,W,480.0,VOU,143.0,337.0
FCY,W,457.0,DB,179.0,278.0
FCY,W,442.0,PVYA,192.0,250.0
FCY,W,435.0,BAR,201.0,234.0
FCY,W,427.0,LDL,202.0,225.0
FCY,W,397.0,LL,221.0,176.0
FCY,W,402.0,RSST,230.0,172.0
FCY,W,403.0,SR,230.0,173.0
FCY,W,406.0,VOUBC,234.0,172.0
FCY,W,361.0,CH,271.0,90.0
FCY,W,339.0,HC,293.0,46.0
FCY,L,273.0,WKW,347.0,-74.0
HC,W,510.0,TR,30.0,480.0
HC,W,423.0,HHCC,155.0,268.0
HC,W,432.0,WRST,173.0,259.0
HC,W,424.0,VOU,180.0,244.0
HC,W,404.0,DB,189.0,215.0
HC,W,405.0,RMR,200.0,205.0
HC,W,393.0,PVYA,221.0,172.0
HC,W,373.0,LL,225.0,148.0
HC,W,377.0,LDL,233.0,144.0
HC,W,377.0,BAR,248.0,129.0
HC,W,350.0,RSST,269.0,81.0
HC,W,358.0,SR,272.0,86.0
HC,W,354.0,VOUBC,274.0,80.0
HC,W,329.0,CH,290.0,39.0
HC,L,293.0,FCY,339.0,-46.0
HC,L,273.0,WKW,343.0,-70.0
CH,W,554.0,TR,21.0,533.0
CH,W,439.0,HHCC,160.0,279.0
CH,W,435.0,VOU,177.0,258.0
CH,W,409.0,WRST,205.0,204.0
CH,W,409.0,RMR,217.0,192.0
CH,W,389.0,PVYA,225.0,164.0
CH,W,384.0,DB,231.0,153.0
CH,W,347.0,LL,253.0,94.0
CH,W,359.0,LDL,259.0,100.0
CH,W,358.0,BAR,262.0,96.0
CH,W,354.0,VOUBC,281.0,73.0
CH,W,347.0,SR,286.0,61.0
CH,W,333.0,RSST,292.0,41.0
CH,L,290.0,HC,329.0,-39.0
CH,L,271.0,FCY,361.0,-90.0
CH,L,245.0,WKW,372.0,-127.0
RSST,W,549.0,TR,18.0,531.0
RSST,W,416.5,HHCC,167.5,249.0
RSST,W,426.0,VOU,176.0,250.0
RSST,W,426.0,WRST,183.0,243.0
RSST,W,410.0,DB,202.0,208.0
RSST,W,407.0,RMR,216.0,191.0
RSST,W,398.0,PVYA,219.0,179.0
RSST,W,367.5,LDL,247.5,120.0
RSST,W,382.0,BAR,249.0,133.0
RSST,W,343.5,LL,255.5,88.0
RSST,W,365.0,SR,259.0,106.0
RSST,W,317.0,VOUBC,314.0,3.0
RSST,L,292.0,CH,333.0,-41.0
RSST,L,269.0,HC,350.0,-81.0
RSST,L,213.0,WKW,395.0,-182.0
RSST,L,230.0,FCY,402.0,-172.0
LL,W,496.0,TR,28.0,468.0
LL,W,386.0,WRST,184.0,202.0
LL,W,378.0,HHCC,185.0,193.0
LL,W,388.0,VOU,189.0,199.0
LL,W,357.0,DB,231.0,126.0
LL,W,368.0,RMR,235.0,133.0
LL,W,350.0,PVYA,249.0,101.0
LL,W,347.0,BAR,256.0,91.0
LL,W,319.0,LDL,278.0,41.0
LL,W,327.0,SR,294.0,33.0
LL,L,289.0,VOUBC,336.0,-47.0
LL,L,255.5,RSST,343.5,-88.0
LL,L,253.0,CH,347.0,-94.0
LL,L,225.0,HC,373.0,-148.0
LL,L,221.0,FCY,397.0,-176.0
LL,L,160.0,WKW,429.0,-269.0
VOUBC,W,503.0,TR,12.0,491.0
VOUBC,W,409.0,HHCC,166.0,243.0
VOUBC,W,407.5,WRST,210.5,197.0
VOUBC,W,387.0,VOU,213.0,174.0
VOUBC,W,343.0,DB,257.0,86.0
VOUBC,W,351.0,PVYA,259.0,92.0
VOUBC,W,381.0,RMR,259.0,122.0
VOUBC,W,345.0,LDL,288.0,57.0
VOUBC,W,336.0,LL,289.0,47.0
VOUBC,W,319.0,SR,299.0,20.0
VOUBC,L,314.0,RSST,317.0,-3.0
VOUBC,L,316.0,BAR,318.0,-2.0
VOUBC,L,281.0,CH,354.0,-73.0
VOUBC,L,274.0,HC,354.0,-80.0
VOUBC,L,238.0,WKW,396.0,-158.0
VOUBC,L,234.0,FCY,406.0,-172.0
LDL,W,511.5,TR,33.5,478.0
LDL,W,409.0,HHCC,180.0,229.0
LDL,W,385.5,WRST,218.5,167.0
LDL,W,383.0,VOU,219.0,164.0
LDL,W,372.0,RMR,234.0,138.0
LDL,W,356.0,DB,242.0,114.0
LDL,W,355.0,PVYA,257.0,98.0
LDL,W,321.0,BAR,306.0,15.0
LDL,W,312.0,SR,311.0,1.0
LDL,L,278.0,LL,319.0,-41.0
LDL,L,288.0,VOUBC,345.0,-57.0
LDL,L,259.0,CH,359.0,-100.0
LDL,L,247.5,RSST,367.5,-120.0
LDL,L,233.0,HC,377.0,-144.0
LDL,L,202.0,FCY,427.0,-225.0
LDL,L,167.0,WKW,446.0,-279.0
BAR,W,550.0,TR,22.0,528.0
BAR,W,421.0,HHCC,181.0,240.0
BAR,W,416.0,VOU,202.0,214.0
BAR,W,407.0,WRST,210.0,197.0
BAR,W,385.0,DB,227.0,158.0
BAR,W,374.0,PVYA,256.0,118.0
BAR,W,367.0,RMR,258.0,109.0
BAR,W,318.0,VOUBC,316.0,2.0
BAR,L,306.0,LDL,321.0,-15.0
BAR,L,299.0,SR,339.0,-40.0
BAR,L,256.0,LL,347.0,-91.0
BAR,L,262.0,CH,358.0,-96.0
BAR,L,248.0,HC,377.0,-129.0
BAR,L,249.0,RSST,382.0,-133.0
BAR,L,201.0,FCY,435.0,-234.0
BAR,L,179.0,WKW,443.0,-264.0
SR,W,531.0,TR,28.0,503.0
SR,W,398.0,HHCC,185.0,213.0
