Home,W/L,Points,Visitor,Points,Diff
FCY,W,580.0,TR,37.0,543.0
FCY,W,532.0,WRST,100.0,432.0
FCY,W,527.0,PVYA,108.0,419.0
FCY,W,522.0,RMR,113.0,409.0
FCY,W,493.0,VOU,128.0,365.0
FCY,W,479.0,HHCC,156.0,323.0
FCY,W,482.0,DB,157.0,325.0
FCY,W,469.0,LDL,167.0,302.0
FCY,W,439.0,VOUBC,203.0,236.0
FCY,W,400.0,LL,226.0,174.0
FCY,W,412.0,BAR,228.0,184.0
FCY,W,381.0,SR,259.0,122.0
FCY,W,378.0,HC,260.0,118.0
FCY,W,361.0,RSST,274.0,87.0
FCY,W,342.0,WKW,297.0,45.0
FCY,W,340.0,CH,300.0,40.0
RSST,W,580.0,TR,36.0,544.0
RSST,W,509.0,PVYA,117.0,392.0
RSST,W,483.0,VOU,137.0,346.0
RSST,W,494.0,WRST,141.0,353.0
RSST,W,478.0,DB,155.0,323.0
RSST,W,470.0,RMR,164.0,306.0
RSST,W,466.0,LDL,169.0,297.0
RSST,W,448.0,HHCC,184.0,264.0
RSST,W,415.0,BAR,225.0,190.0
RSST,W,389.0,VOUBC,252.0,137.0
RSST,W,379.0,HC,254.0,125.0
RSST,W,376.0,LL,258.0,118.0
RSST,W,360.0,SR,281.0,79.0
RSST,W,324.0,CH,317.0,7.0
RSST,W,323.0,WKW,317.0,6.0
RSST,L,274.0,FCY,361.0,-87.0
CH,W,593.0,TR,28.0,565.0
CH,W,516.0,WRST,125.0,391.0
CH,W,508.0,PVYA,131.0,377.0
CH,W,476.0,VOU,156.0,320.0
CH,W,465.0,DB,170.0,295.0
CH,W,461.0,RMR,179.0,282.0
CH,W,451.0,HHCC,189.0,262.0
CH,W,442.0,LDL,196.0,246.0
CH,W,392.0,HC,248.0,144.0
CH,W,386.0,VOUBC,253.0,133.0
CH,W,381.0,BAR,259.0,122.0
CH,W,364.0,LL,271.0,93.0
CH,W,332.0,WKW,308.0,24.0
CH,W,328.0,SR,309.0,19.0
CH,L,317.0,RSST,324.0,-7.0
CH,L,300.0,FCY,340.0,-40.0
WKW,W,520.0,TR,69.0,451.0
WKW,W,436.0,PVYA,181.0,255.0
WKW,W,420.0,DB,188.0,232.0
WKW,W,423.0,VOU,191.0,232.0
WKW,W,432.0,WRST,199.0,233.0
WKW,W,409.0,HHCC,216.0,193.0
WKW,W,416.0,RMR,218.0,198.0
WKW,W,396.0,LDL,225.0,171.0
WKW,W,344.0,HC,283.0,61.0
WKW,W,341.0,VOUBC,283.0,58.0
WKW,W,351.0,BAR,285.0,66.0
WKW,W,333.0,LL,304.0,29.0
WKW,W,323.0,SR,304.0,19.0
WKW,L,317.0,RSST,323.0,-6.0
WKW,L,308.0,CH,332.0,-24.0
WKW,L,297.0,FCY,342.0,-45.0
SR,W,527.0,TR,44.0,483.0
SR,W,460.0,PVYA,163.0,297.0
SR,W,420.0,DB,176.0,244.0
SR,W,427.0,VOU,183.0,244.0
SR,W,442.0,WRST,191.0,251.0
SR,W,414.0,RMR,222.0,192.0
SR,W,393.0,HHCC,232.0,161.0
SR,W,380.0,LDL,245.0,135.0
SR,W,367.0,HC,272.0,95.0
SR,W,336.0,VOUBC,274.0,62.0
SR,W,345.0,BAR,288.0,57.0
SR,W,323.0,LL,312.0,11.0
SR,L,304.0,WKW,323.0,-19.0
SR,L,309.0,CH,328.0,-19.0
SR,L,281.0,RSST,360.0,-79.0
SR,L,259.0,FCY,381.0,-122.0
LL,W,542.0,TR,48.0,494.0
LL,W,465.0,WRST,161.0,304.0
LL,W,466.0,PVYA,165.0,301.0
LL,W,445.0,VOU,167.0,278.0
LL,W,437.0,RMR,184.0,253.0
LL,W,408.0,DB,216.0,192.0
LL,W,407.0,HHCC,225.0,182.0
LL,W,382.0,LDL,240.0,142.0
LL,W,357.0,VOUBC,283.0,74.0
LL,W,344.0,BAR,285.0,59.0
LL,W,330.5,HC,297.5,33.0
LL,L,312.0,SR,323.0,-11.0
LL,L,304.0,WKW,333.0,-29.0
LL,L,271.0,CH,364.0,-93.0
LL,L,258.0,RSST,376.0,-118.0
LL,L,226.0,FCY,400.0,-174.0
HC,W,507.0,TR,70.0,437.0
HC,W,424.0,PVYA,191.0,233.0
HC,W,394.0,VOU,217.0,177.0
HC,W,404.0,WRST,230.0,174.0
HC,W,380.0,DB,239.0,141.0
HC,W,366.0,LDL,250.0,116.0
HC,W,356.0,RMR,271.0,85.0
HC,W,351.0,HHCC,278.0,73.0
HC,W,326.0,VOUBC,302.0,24.0
HC,W,324.0,BAR,311.0,13.0
HC,L,297.5,LL,330.5,-33.0
HC,L,283.0,WKW,344.0,-61.0
HC,L,272.0,SR,367.0,-95.0
HC,L,260.0,FCY,378.0,-118.0
HC,L,254.0,RSST,379.0,-125.0
HC,L,248.0,CH,392.0,-144.0
BAR,W,579.0,TR,34.0,545.0
BAR,W,474.0,PVYA,161.0,313.0
BAR,W,455.0,VOU,170.0,285.0
BAR,W,445.5,DB,180.5,265.0
BAR,W,453.0,WRST,187.0,266.0
