Home,W/L,Points,Visitor,Points,Diff
LDL,W,435.0,WRST,188.0,247.0
LDL,W,383.0,DB,224.0,159.0
LDL,W,380.0,PVYA,232.0,148.0
LDL,W,394.0,HHCC,233.0,161.0
LDL,W,391.0,VOU,234.0,157.0
LDL,W,365.0,RMR,264.0,101.0
LDL,W,331.0,BAR,302.0,29.0
LDL,L,318.5,VOUBC,320.5,-2.0
LDL,L,312.0,SR,322.0,-10.0
LDL,L,299.0,RSST,330.0,-31.0
LDL,L,286.0,LL,334.0,-48.0
LDL,L,265.0,CH,367.0,-102.0
LDL,L,246.0,FCY,386.0,-140.0
LDL,L,246.0,HC,387.0,-141.0
LDL,L,206.0,WKW,432.0,-226.0
RMR,W,512.0,TR,73.0,439.0
RMR,W,365.0,WRST,252.0,113.0
RMR,W,350.0,VOU,269.0,81.0
RMR,W,335.0,PVYA,278.0,57.0
RMR,W,328.0,DB,291.0,37.0
RMR,W,332.0,HHCC,297.0,35.0
RMR,L,247.0,LL,361.0,-114.0
RMR,L,264.0,LDL,365.0,-101.0
RMR,L,264.0,SR,366.0,-102.0
RMR,L,270.0,VOUBC,367.0,-97.0
RMR,L,256.0,BAR,372.0,-116.0
RMR,L,251.0,RSST,379.0,-128.0
RMR,L,229.0,HC,407.0,-178.0
RMR,L,194.0,CH,428.0,-234.0
RMR,L,169.0,FCY,461.0,-292.0
RMR,L,159.0,WKW,473.0,-314.0
DB,W,403.0,TR,89.0,314.0
DB,W,315.0,HHCC,267.0,48.0
DB,W,331.0,WRST,269.0,62.0
DB,W,313.0,PVYA,271.0,42.0
DB,W,311.0,VOU,285.0,26.0
DB,L,291.0,RMR,328.0,-37.0
DB,L,285.0,VOUBC,338.0,-53.0
DB,L,216.0,LL,376.0,-160.0
DB,L,221.0,SR,379.0,-158.0
DB,L,224.0,LDL,383.0,-159.0
DB,L,226.0,BAR,388.0,-162.0
DB,L,219.0,RSST,399.0,-180.0
DB,L,194.0,HC,413.0,-219.0
DB,L,199.0,CH,430.0,-231.0
DB,L,200.0,FCY,432.0,-232.0
DB,L,179.0,WKW,445.0,-266.0
PVYA,W,416.0,TR,104.0,312.0
PVYA,W,314.0,VOU,268.0,46.0
PVYA,W,337.0,WRST,269.0,68.0
PVYA,W,304.0,HHCC,296.0,8.0
PVYA,L,271.0,DB,313.0,-42.0
PVYA,L,278.0,RMR,335.0,-57.0
PVYA,L,275.0,VOUBC,353.0,-78.0
PVYA,L,271.0,BAR,356.0,-85.0
PVYA,L,243.0,LL,356.0,-113.0
PVYA,L,241.0,SR,369.0,-128.0
PVYA,L,232.0,LDL,380.0,-148.0
PVYA,L,235.0,RSST,380.0,-145.0
PVYA,L,213.0,HC,412.0,-199.0
PVYA,L,189.0,CH,425.0,-236.0
PVYA,L,199.0,FCY,434.0,-235.0
PVYA,L,175.0,WKW,444.0,-269.0
HHCC,W,420.0,TR,85.0,335.0
HHCC,W,300.0,VOU,291.0,9.0
HHCC,L,296.0,PVYA,304.0,-8.0
HHCC,L,306.0,WRST,307.0,-1.0
HHCC,L,267.0,DB,315.0,-48.0
HHCC,L,297.0,RMR,332.0,-35.0
HHCC,L,231.0,LL,366.0,-135.0
HHCC,L,245.0,BAR,371.0,-126.0
HHCC,L,238.0,SR,383.0,-145.0
HHCC,L,233.0,LDL,394.0,-161.0
HHCC,L,224.0,VOUBC,395.0,-171.0
HHCC,L,216.0,RSST,404.0,-188.0
HHCC,L,211.0,HC,409.0,-198.0
HHCC,L,187.0,CH,435.0,-248.0
HHCC,L,169.0,WKW,451.0,-282.0
HHCC,L,159.5,FCY,478.5,-319.0
VOU,W,435.0,TR,67.0,368.0
VOU,W,335.0,WRST,261.0,74.0
VOU,L,291.0,HHCC,300.0,-9.0
VOU,L,285.0,DB,311.0,-26.0
VOU,L,268.0,PVYA,314.0,-46.0
VOU,L,269.0,RMR,350.0,-81.0
VOU,L,244.0,VOUBC,357.0,-113.0
VOU,L,243.0,RSST,367.0,-124.0
VOU,L,234.0,BAR,388.0,-154.0
VOU,L,236.0,SR,388.0,-152.0
VOU,L,232.0,HC,389.0,-157.0
VOU,L,234.0,LDL,391.0,-157.0
VOU,L,208.0,LL,393.0,-185.0
VOU,L,179.0,CH,431.0,-252.0
VOU,L,177.0,WKW,437.0,-260.0
VOU,L,185.0,FCY,445.0,-260.0
WRST,W,457.0,TR,100.0,357.0
WRST,W,307.0,HHCC,306.0,1.0
WRST,L,269.0,DB,331.0,-62.0
WRST,L,261.0,VOU,335.0,-74.0
WRST,L,269.0,PVYA,337.0,-68.0
WRST,L,252.0,RMR,365.0,-113.0
WRST,L,207.0,LL,395.0,-188.0
WRST,L,213.0,VOUBC,419.0,-206.0
WRST,L,200.0,SR,426.0,-226.0
WRST,L,189.0,BAR,432.0,-243.0
WRST,L,188.0,LDL,435.0,-247.0
WRST,L,178.0,RSST,438.0,-260.0
WRST,L,179.0,HC,451.0,-272.0
WRST,L,142.0,CH,467.0,-325.0
WRST,L,128.0,WKW,493.0,-365.0
WRST,L,125.0,FCY,499.0,-374.0
TR,L,89.0,DB,403.0,-314.0
TR,L,104.0,PVYA,416.0,-312.0
TR,L,85.0,HHCC,420.0,-335.0
TR,L,67.0,VOU,435.0,-368.0
TR,L,100.0,WRST,457.0,-357.0
TR,L,57.0,LL,488.0,-431.0
TR,L,47.0,VOUBC,495.0,-448.0
TR,L,71.0,LDL,501.0,-430.0
TR,L,55.0,HC,512.0,-457.0
TR,L,73.0,RMR,512.0,-439.0
TR,L,63.0,BAR,521.0,-458.0
TR,L,51.0,SR,526.0,-475.0
TR,L,44.0,RSST,530.0,-486.0
TR,L,48.0,CH,537.0,-489.0
TR,L,40.0,WKW,548.0,-508.0
TR,L,34.0,FCY,579.0,-545.0
