Home,W/L,Points,Visitor,Points,Diff
WKW,W,950.0,TR,34.0,916.0
WKW,W,849.0,WRST,275.0,574.0
WKW,W,802.5,PVYA,297.5,505.0
WKW,W,782.0,DB,302.0,480.0
WKW,W,772.0,HHCC,326.0,446.0
WKW,W,769.0,VOU,346.0,423.0
WKW,W,771.0,LDL,358.0,413.0
WKW,W,785.0,RMR,358.0,427.0
WKW,W,737.0,SR,395.0,342.0
WKW,W,720.5,LL,398.5,322.0
WKW,W,732.0,BAR,400.0,332.0
WKW,W,721.0,VOUBC,418.0,303.0
WKW,W,691.0,RSST,447.0,244.0
WKW,W,648.0,HC,474.0,174.0
WKW,W,658.0,CH,491.0,167.0
WKW,W,650.0,FCY,511.0,139.0
FCY,W,1043.0,TR,27.0,1016.0
FCY,W,921.0,WRST,238.0,683.0
FCY,W,873.0,PVYA,272.0,601.0
FCY,W,829.0,HHCC,320.0,509.0
FCY,W,834.0,RMR,324.0,510.0
FCY,W,812.0,VOU,331.0,481.0
FCY,W,790.0,DB,352.0,438.0
FCY,W,763.0,LDL,396.0,367.0
FCY,W,747.0,SR,420.0,327.0
FCY,W,715.0,LL,426.0,289.0
FCY,W,707.0,BAR,427.0,280.0
FCY,W,715.0,VOUBC,451.0,264.0
FCY,W,635.0,HC,500.0,135.0
FCY,W,632.0,RSST,529.0,103.0
FCY,W,613.0,CH,547.0,66.0
FCY,L,511.0,WKW,650.0,-139.0
CH,W,976.0,TR,33.0,943.0
CH,W,816.0,PVYA,293.0,523.0
CH,W,825.0,WRST,314.0,511.0
CH,W,761.0,DB,335.0,426.0
CH,W,774.0,HHCC,339.0,435.0
CH,W,740.5,VOU,375.5,365.0
CH,W,739.0,RMR,409.0,330.0
CH,W,695.0,LDL,446.0,249.0
CH,W,676.0,BAR,449.0,227.0
CH,W,667.0,LL,462.0,205.0
CH,W,665.0,SR,470.0,195.0
CH,W,666.0,VOUBC,477.0,189.0
CH,W,617.0,HC,503.0,114.0
CH,W,578.5,RSST,565.5,13.0
CH,L,547.0,FCY,613.0,-66.0
CH,L,491.0,WKW,658.0,-167.0
RSST,W,937.0,TR,19.0,918.0
RSST,W,792.0,PVYA,282.0,510.0
RSST,W,831.0,WRST,284.0,547.0
RSST,W,752.0,HHCC,325.0,427.0
RSST,W,721.5,DB,346.5,375.0
RSST,W,738.0,VOU,355.0,383.0
RSST,W,739.0,RMR,391.0,348.0
RSST,W,701.0,LDL,418.0,283.0
RSST,W,693.5,SR,428.5,265.0
RSST,W,662.0,LL,462.0,200.0
RSST,W,652.0,BAR,474.0,178.0
RSST,W,636.0,VOUBC,495.0,141.0
RSST,W,582.0,HC,522.0,60.0
RSST,L,565.5,CH,578.5,-13.0
RSST,L,529.0,FCY,632.0,-103.0
RSST,L,447.0,WKW,691.0,-244.0
HC,W,792.0,TR,47.0,745.0
HC,W,639.5,DB,378.5,261.0
HC,W,665.0,PVYA,380.0,285.0
HC,W,658.5,HHCC,395.5,263.0
HC,W,683.0,WRST,400.0,283.0
HC,W,609.0,VOU,436.0,173.0
HC,W,629.0,RMR,472.0,157.0
HC,W,594.5,LDL,479.5,115.0
HC,W,577.0,LL,499.0,78.0
HC,W,572.0,BAR,502.0,70.0
HC,W,573.0,VOUBC,506.0,67.0
HC,W,561.0,SR,537.0,24.0
HC,L,522.0,RSST,582.0,-60.0
HC,L,503.0,CH,617.0,-114.0
HC,L,500.0,FCY,635.0,-135.0
HC,L,474.0,WKW,648.0,-174.0
LL,W,891.0,TR,35.0,856.0
LL,W,707.5,PVYA,367.5,340.0
LL,W,720.0,WRST,377.0,343.0
LL,W,670.0,HHCC,402.0,268.0
LL,W,644.0,DB,406.0,238.0
LL,W,649.0,VOU,420.0,229.0
LL,W,657.0,RMR,450.0,207.0
LL,W,581.0,LDL,517.0,64.0
LL,W,595.0,SR,527.0,68.0
LL,W,553.0,BAR,533.0,20.0
LL,W,565.0,VOUBC,557.0,8.0
LL,L,499.0,HC,577.0,-78.0
LL,L,462.0,RSST,662.0,-200.0
LL,L,462.0,CH,667.0,-205.0
LL,L,426.0,FCY,715.0,-289.0
LL,L,398.5,WKW,720.5,-322.0
BAR,W,908.0,TR,36.0,872.0
BAR,W,761.0,WRST,353.0,408.0
BAR,W,736.0,PVYA,358.0,378.0
BAR,W,687.0,HHCC,386.0,301.0
BAR,W,657.0,DB,394.0,263.0
BAR,W,639.0,VOU,421.0,218.0
BAR,W,654.0,RMR,466.0,188.0
BAR,W,605.0,LDL,500.0,105.0
BAR,W,595.0,SR,545.0,50.0
BAR,W,588.0,VOUBC,546.0,42.0
BAR,L,533.0,LL,553.0,-20.0
BAR,L,502.0,HC,572.0,-70.0
BAR,L,474.0,RSST,652.0,-178.0
BAR,L,449.0,CH,676.0,-227.0
BAR,L,427.0,FCY,707.0,-280.0
BAR,L,400.0,WKW,732.0,-332.0
VOUBC,W,840.0,TR,36.0,804.0
VOUBC,W,659.0,HHCC,384.0,275.0
VOUBC,W,701.0,WRST,391.0,310.0
VOUBC,W,666.0,PVYA,393.0,273.0
VOUBC,W,606.0,DB,433.0,173.0
VOUBC,W,599.0,VOU,455.0,144.0
VOUBC,W,656.0,RMR,498.0,158.0
VOUBC,W,573.0,LDL,540.0,33.0
VOUBC,W,556.5,SR,546.5,10.0
VOUBC,L,557.0,LL,565.0,-8.0
VOUBC,L,506.0,HC,573.0,-67.0
VOUBC,L,546.0,BAR,588.0,-42.0
VOUBC,L,495.0,RSST,636.0,-141.0
VOUBC,L,477.0,CH,666.0,-189.0
VOUBC,L,451.0,FCY,715.0,-264.0
VOUBC,L,418.0,WKW,721.0,-303.0
SR,W,933.0,TR,36.0,897.0
SR,W,707.0,PVYA,349.0,358.0
SR,W,704.0,WRST,399.0,305.0
SR,W,670.0,HHCC,413.0,257.0
SR,W,631.0,DB,418.0,213.0
SR,W,627.0,VOU,467.0,160.0
SR,W,617.5,RMR,507.5,110.0
SR,W,559.0,LDL,547.0,12.0
SR,L,546.5,VOUBC,556.5,-10.0
SR,L,537.0,HC,561.0,-24.0
SR,L,545.0,BAR,595.0,-50.0
SR,L,527.0,LL,595.0,-68.0
SR,L,470.0,CH,665.0,-195.0
SR,L,428.5,RSST,693.5,-265.0
SR,L,395.0,WKW,737.0,-342.0
SR,L,420.0,FCY,747.0,-327.0
LDL,W,865.0,TR,35.0,830.0
LDL,W,678.0,PVYA,380.0,298.0
