Home,W/L,Points,Visitor,Points,Diff
FCY,W,997.0,TR,74.0,923.0
FCY,W,898.0,PVYA,242.0,656.0
FCY,W,898.0,WRST,243.0,655.0
FCY,W,849.0,VOU,254.0,595.0
FCY,W,887.0,RMR,256.0,631.0
FCY,W,843.0,DB,304.0,539.0
FCY,W,821.0,HHCC,314.0,507.0
FCY,W,802.0,LDL,341.0,461.0
FCY,W,743.0,BAR,412.0,331.0
FCY,W,756.0,VOUBC,419.0,337.0
FCY,W,696.0,LL,424.0,272.0
FCY,W,721.0,HC,429.0,292.0
FCY,W,698.0,SR,461.0,237.0
FCY,W,653.0,RSST,496.0,157.0
FCY,W,659.0,WKW,501.0,158.0
FCY,W,638.0,CH,528.0,110.0
RSST,W,964.0,TR,81.0,883.0
RSST,W,856.5,PVYA,262.5,594.0
RSST,W,811.0,VOU,283.0,528.0
RSST,W,805.5,DB,310.5,495.0
RSST,W,819.0,WRST,316.0,503.0
RSST,W,784.0,HHCC,343.0,441.0
RSST,W,776.0,LDL,356.0,420.0
RSST,W,773.0,RMR,369.0,404.0
RSST,W,691.0,HC,444.0,247.0
RSST,W,696.0,VOUBC,452.0,244.0
RSST,W,694.0,BAR,465.0,229.0
RSST,W,651.0,LL,483.0,168.0
RSST,W,660.0,SR,491.0,169.0
RSST,W,626.0,WKW,522.0,104.0
RSST,W,596.5,CH,571.5,25.0
RSST,L,496.0,FCY,653.0,-157.0
CH,W,973.5,TR,66.5,907.0
CH,W,844.0,PVYA,285.0,559.0
CH,W,812.0,VOU,302.0,510.0
CH,W,841.5,WRST,315.5,526.0
CH,W,792.0,DB,329.0,463.0
CH,W,782.0,HHCC,356.0,426.0
CH,W,787.0,RMR,375.0,412.0
CH,W,725.5,LDL,405.5,320.0
CH,W,701.0,HC,447.0,254.0
CH,W,673.5,VOUBC,461.5,212.0
CH,W,649.0,LL,500.0,149.0
CH,W,650.0,WKW,505.0,145.0
CH,W,644.0,BAR,522.0,122.0
CH,W,601.0,SR,545.0,56.0
CH,L,571.5,RSST,596.5,-25.0
CH,L,528.0,FCY,638.0,-110.0
SR,W,870.0,TR,85.0,785.0
SR,W,744.0,PVYA,335.0,409.0
SR,W,704.0,DB,346.0,358.0
SR,W,703.0,VOU,352.0,351.0
SR,W,735.0,WRST,387.0,348.0
SR,W,688.0,HHCC,410.0,278.0
SR,W,643.0,LDL,441.0,202.0
SR,W,688.0,RMR,453.0,235.0
SR,W,646.0,HC,486.0,160.0
SR,W,574.0,VOUBC,493.0,81.0
SR,W,568.0,WKW,537.0,31.0
SR,W,571.0,LL,570.0,1.0
SR,W,576.0,BAR,572.0,4.0
